"","33038__329854","1547__349096","39484__78342","1661050__40324_216778","1582__328814","48296__487175_1646377","243924__28026_1827099","40324__216778","40214__28901_46503","905__309120","1280__28025","28038__470_1561","1681__861_341225","28132__470565","487175__1646377","76759__28117_261299","28026__1827099","626933__1687_33037","185294__589437","180282__70775_658457","38286__441500","157687__228604","45067__40681_46867","28901__46503","376805__1264_1358","77095__28091_187452","104663__196024_1611423","28117__261299","1453492__28454_1113609","2088__1510_626937","876__187327_218538","36848__169435_626931","1311__1691_29354","82135__28118_626932","1010__317_33069","310300__1902_157692","32013__225991","36835__97478_251535","490189__511_370979","28454__1113609","1401__1559_36745","245__387661_405446","1264__1358","1303__28037_29466","60133__1308_28125","386414__28130_76517","67269__850_108980","1282__28126_29356","28090__40216_202956","421767__316_47880","290309__80866_101564","38986__40518_47678","1571__47884_189722","588__516075","33029__33032","187327__218538","471__106654","1597__39496_574375","187491__1522_36874","290588__43770_79880","28091__187452","1260__28116_536633","169435__626931","173480__1535_246787","1510__626937","38304__310514","28118__626932","1467__182710_487698","2741__1254_1590","239974__1504_633701","1506__384638_1121298","387661__405446","1487956__1307_1725","308892__1532_137732","196024__1611423","191295__305719_588932","45254__39485_39492","56810__37734_376804","1308__28125","1844653__1379_41976","83617__28446_36847","1859290__483012_1223514","47884__189722","103892__535744","1580__29348_301301","70775__658457","40518__47678","47770__59310","301__166486_626930","29370__53408","1522__36874","1535__246787","1267__1584_216935","28126__29356","1428__184870","28116__536633","34038__1352_43131","28037__29466","511__370979","850__108980","80866__101564","1307__1725","35825__901_29552","488__729_39778","856__46506_589436","39485__39492","1504__633701","118748__1735_35833","2139__33031","28127__39486","202611__33034_39497","143393__185293","305719__588932","1254__1590","317__33069","29348__301301","860__425941","182710__487698","37734__376804","1379__41976","316__47880","483012__1223514","43770__79880","1532__137732","39490__1515_44749","384638__1121298","47879__28111_351091","166486__626930","46506__589436","1584__216935","38288__1630_100884","376806__671267","33935__1755607","88688__76853_218284","587753__33043_882211","1633__585_1680","470__1561","40681__46867","861__341225","271420__1144673","33039__293_52787","1735__35833","163877__1121830","28130__76517","1687__33037","29524__1148157","1691__29354","901__29552","745310__39645_105229","191610__40543_284042","39645__105229","208596__2751_147709","76853__218284","703__263475","2751__147709","29461__871324","1727__46228","481743__1113741","1902__157692","40216__202956","153151__270498","97478__251535","40543__284042","55197__122355_216816","851__163665_1113922","39496__574375","547163__1685_437898","207340__1623_328812","137591__287_310298","1352__43131","28128__101070","1496__208479_410072","28131__562_28112","479117__584_839","102862__183417","729__39778","28111__351091","204516__820_821","33034__39497","1630__100884","1515__44749","57706__907_40519","52226__40520_69825","114527__45851_214856","1304__84032_291644","585__1680","28446__36847","33043__882211","1559__36745","122355__216816","293__52787","1685__437898","1623__328812","287__310298","1113709__823_310297","208479__410072","584__839","33035__84030_387090","879__165179_239935","907__40519","40215__328813_1161942","45851__214856","40520__69825","562__28112","106648__817_454154","84032__291644","197614__818_1755626","163665__1113922","823__310297","820__821","84030__387090","165179__239935","328813__1161942","817__454154","818__1755626"
"ERR1073663",0,0,0,0,0,-2.57799719969574,0,0,0,0,0,0,0,0,4.46522213164332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03843824532547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26272941656415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.783640836957871,0,0,0,0,-2.52967382277202,0,0,0,0,0,0,0,0,0,0,0,-2.88284470093861,0,0,0,0,0,0,0,-4.38152358761813,0,-2.5657029352718,0,-2.7143581295275,0,4.99323349235638,-0.613391639179214,0,0,0,-4.44392784101936,-4.70140619027925
"ERR1073812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08409937550165,0,0,0,0,0,0,0,0,0,0,0,3.60976600639143,0,0,0,0,0,-1.96598244105708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39147056966511,0,0,0,0,0,0,0,0,-2.29344676917483,0,0,0,0,-3.40518147469916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.14214853146566,0,0,0,0,0,0,0,0,0,0,0,0,3.9723663286655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4318318814936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13236182448503,0,0,-1.71751170268366,0,0,0,0,-1.19016395156161
"ERR1073918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41345058809871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18021904014395,0,0,0,0,0,-2.62737743491218,0,-2.99812099802558,0,0,0,0,0,0,0,0,0,0,0,0,-2.70794062730363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.19289789581942,0,0,0,4.55075120792788,0,0,0,0,0,0,0,0,0,4.69029075036983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41531470392936,0,0,0,0,0,0,0,-2.49909381500331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.18344778347383,-5.5130850117004,0,0,0,0,0,0,0,0,0,4.32855746046687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.34688561652788,0,0,-0.400326755539776,0,0,0,0,-5.79697593494778
"ERR1074869",0,0,0,0,0,0,0,0,5.84895460735098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08087438612962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5627204513638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33623096851408,0,0,0,0,0,0,0,0,0,-4.43876202735795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43460454592044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79316449504953,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.21685876987236,0,0,0,0,0,0,0,0,4.83790281932325,0,0,0,0,0,0,0,-2.92225701006261,0,-5.51720490398537,0,0,0,0,0,0,5.06149761420276,0.187777556691383
"ERR1074894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55498243351216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.42535938728903,0,0,0,0,0,-2.50033794670661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99394049573674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3307123597883,0,0,0,0,0,0,0,0,0,-5.18565705345398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40950097972375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.17337811776852,-5.98298179607255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.6455291669831,0,0,-1.10052797356533,0,0,0,0,-0.852163853456415
"ERR1074972",0,0,4.31823588451855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56886483208971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4803691483501,0,0,0,-4.85944819043437,0,0,0,0,0,0,4.44940440695626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.29612538646872,0,0,0,0,0,0,0,0,0,0,0,0.0709888313128331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75223690554601,0,0,0,0,0,0,-2.33212944485763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03936668832081,-3.07886063849506,0,0,-0.48265293128299,0,0,0,0,-5.3327430552974
"ERR1074999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21159375258508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83059274517927,0,0,0,0,0,0,0,-2.44491249001896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38809810142275,0,0,4.23471265277258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60865517985473,-4.13630724512298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51832331093611,-6.23447574110777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37863310849985,0,0,0,0,0,-3.23083009309059,0,0,0,0,0,-2.57047657097172,0,4.11991339648724,0.183682034491812,0,0,5.59596187185539,0,4.45219602058845
"ERR1075057",0,0,0,0,0,0,0,0,-2.59273709475118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.49075237877757,-2.51139315104815,0,0,0,0,0,-2.60773089865354,0,0,0,0,0,0,0,0,0,0,0,4.34986053539589,0,0,0,0,0,0,0,0,0,0,0,0,-4.51672240893518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81584359530511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.87718417323586,0,0,0,0,0,0,0,0,0,0,-2.73317664342794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73400081247776,-2.69875682525016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63042633094783,0,-2.77766589705164,0,0,0,0,0,-3.11145285383895,0,0,4.67438393860656,0,-4.55603205076862,4.81105846014482,0,-5.38919442820424
"ERR1075202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76203187769276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05192873671985,0,0,0,0,0,-5.45063390880839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.87218721620419,0,0,0,0,0,0,0,-1.71213672968464,0,0,0,0,0,0,0,0,0,0,2.2894451274838,0,0,0,0,0,0,0,0,0,3.2427233797466,0,0,0,0,0,0,0,0,0,-2.96550780531862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76203187769276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7281485916557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05192873671985,0,0,0,0,0,0,0,2.99324116377627,0,0,0,0,0,0,0,0,0,0,-1.65994871592476,0,-2.70422064620043,0,0,0,0,0,0,2.8751155139404,-4.68384755409588
"ERR1075228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45747582559552,0,0,0,0,0,0,0,0,0,-2.67912841971059,0,-2.71762266506409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25647298830372,0,0,0,0,-4.70706053169175,0,0,0,4.64038654294045,0,0,0,0,0,0,0,0,-3.30262649236368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72031688319688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79052879942479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39406556062538,0,-6.00495007251343,0,0,4.76617794458694,0,0,0,4.14664318765402,-0.753841142134438
